"Gridcode","species"
101618,"Barbastella leucomelas"
101618,"Myotis muricola"
101618,"Cynopterus sphinx"
101618,"Pipistrellus javanicus"
101618,"Pipistrellus coromandra"
101618,"Hemitragus jemlahicus"
101618,"Suncus etruscus"
101618,"Episoriculus caudatus"
101618,"Soriculus nigrescens"
101618,"Equus kiang"
101618,"Ochotona macrotis"
101618,"Ochotona roylii"
101618,"Mustela altaica"
101618,"Vulpes ferrilata"
101618,"Panthera uncia"
101618,"Moschus leucogaster"
101618,"Pseudois nayaur"
101618,"Cuon alpinus"
101618,"Barbastella darjelingensis"
101618,"Plecotus wardi"
101618,"Myotis formosus"
101618,"Alticola stoliczkanus"
101618,"Bandicota bengalensis"
101618,"Bandicota indica"
101618,"Urocricetus alticola"
101618,"Marmota himalayana"
101618,"Mus saxicola"
101618,"Niviventer fulvescens"
101618,"Rattus tanezumi"
101618,"Rattus pyctoris"
101618,"Lynx lynx"
101618,"Crocidura attenuata"
101618,"Ochotona curzoniae"
101618,"Ursus thibetanus"
101618,"Otocolobus manul"
101618,"Apodemus pallipes"
101618,"Vulpes vulpes"
101618,"Mus musculus"
101618,"Felis chaus"
101618,"Prionailurus bengalensis"
101618,"Catopuma temminckii"
101618,"Canis lupus"
101618,"Canis lupus ssp. chanco"
101618,"Martes foina"
101618,"Mustela sibirica"
101618,"Paguma larvata"
101618,"Paradoxurus hermaphroditus"
101619,"Semnopithecus schistaceus"
101619,"Macaca assamensis"
101619,"Macaca assamensis ssp. pelops"
101619,"Rhinoceros unicornis"
101619,"Rhinolophus ferrumequinum"
101619,"Myotis nipalensis"
101619,"Barbastella leucomelas"
101619,"Cynopterus sphinx"
101619,"Pipistrellus coromandra"
101619,"Ovis ammon"
101619,"Suncus etruscus"
101619,"Equus kiang"
101619,"Ochotona macrotis"
101619,"Ochotona roylii"
101619,"Lepus oiostolus"
101619,"Mustela altaica"
101619,"Vulpes ferrilata"
101619,"Panthera uncia"
101619,"Moschus leucogaster"
101619,"Pseudois nayaur"
101619,"Cuon alpinus"
101619,"Barbastella darjelingensis"
101619,"Plecotus wardi"
101619,"Alticola stoliczkanus"
101619,"Bandicota indica"
101619,"Urocricetus alticola"
101619,"Marmota himalayana"
101619,"Niviventer fulvescens"
101619,"Rattus tanezumi"
101619,"Rattus pyctoris"
101619,"Lynx lynx"
101619,"Crocidura attenuata"
101619,"Ochotona curzoniae"
101619,"Ursus thibetanus"
101619,"Otocolobus manul"
101619,"Apodemus pallipes"
101619,"Vulpes vulpes"
101619,"Mus musculus"
101619,"Felis chaus"
101619,"Prionailurus bengalensis"
101619,"Catopuma temminckii"
101619,"Canis lupus"
101619,"Canis lupus ssp. chanco"
101619,"Martes foina"
101619,"Mustela sibirica"
101619,"Paguma larvata"
101619,"Paradoxurus hermaphroditus"
101621,"Semnopithecus schistaceus"
101621,"Macaca assamensis"
101621,"Macaca assamensis ssp. pelops"
101621,"Rhinoceros unicornis"
101621,"Rhinolophus ferrumequinum"
101621,"Myotis nipalensis"
101621,"Barbastella leucomelas"
101621,"Murina huttoni"
101621,"Cynopterus sphinx"
101621,"Pipistrellus coromandra"
101621,"Hemitragus jemlahicus"
101621,"Equus kiang"
101621,"Ochotona macrotis"
101621,"Ochotona roylii"
101621,"Lepus oiostolus"
101621,"Mustela altaica"
101621,"Vulpes ferrilata"
101621,"Panthera uncia"
101621,"Moschus leucogaster"
101621,"Pseudois nayaur"
101621,"Cuon alpinus"
101621,"Barbastella darjelingensis"
101621,"Plecotus wardi"
101621,"Alticola stoliczkanus"
101621,"Urocricetus alticola"
101621,"Marmota himalayana"
101621,"Niviventer fulvescens"
101621,"Rattus tanezumi"
101621,"Rattus pyctoris"
101621,"Lynx lynx"
101621,"Crocidura attenuata"
101621,"Ochotona curzoniae"
101621,"Ursus thibetanus"
101621,"Otocolobus manul"
101621,"Apodemus pallipes"
101621,"Vulpes vulpes"
101621,"Mus musculus"
101621,"Felis chaus"
101621,"Prionailurus bengalensis"
101621,"Catopuma temminckii"
101621,"Canis lupus"
101621,"Canis lupus ssp. chanco"
101621,"Martes foina"
101621,"Mustela sibirica"
101621,"Paguma larvata"
101621,"Paradoxurus hermaphroditus"
101622,"Macaca assamensis"
101622,"Macaca assamensis ssp. pelops"
