"Gridcode","species"
101627,"Hydrolea zeylanica"
101627,"Aeschynomene aspera"
101627,"Caesulia axillaris"
101627,"Hygrophila polysperma"
101627,"Hydrobryum griffithii"
101627,"Eclipta angustata"
101627,"Limnophila micrantha"
101627,"Bacopa monnieri"
101627,"Medicago sativa"
101627,"Pistacia khinjuk"
101627,"Podophyllum hexandrum"
101627,"Limnophila indica"
101627,"Grangea maderaspatana"
101627,"Sesbania bispinosa"
101627,"Nardostachys jatamansi"
101627,"Centella asiatica"
101627,"Alternanthera sessilis"
101627,"Aeschynomene indica"
101627,"Nymphaea nouchali"
101627,"Rheum australe"
101603,"Lindernia procumbens"
101603,"Limnophila sessiliflora"
101603,"Bonnaya antipoda"
101603,"Oenanthe javanica"
101603,"Drosera peltata"
101603,"Vandellia micrantha"
101603,"Hemisteptia lyrata"
101603,"Nymphaea pubescens"
101603,"Limnophila rugosa"
101603,"Hydrolea zeylanica"
101603,"Aeschynomene aspera"
101603,"Caesulia axillaris"
101603,"Hygrophila polysperma"
101603,"Hydrobryum griffithii"
101603,"Eclipta angustata"
101603,"Limnophila micrantha"
101603,"Bacopa monnieri"
101603,"Medicago sativa"
101603,"Pistacia khinjuk"
101603,"Podophyllum hexandrum"
101603,"Limnophila indica"
101603,"Grangea maderaspatana"
101603,"Sesbania bispinosa"
101603,"Nardostachys jatamansi"
101603,"Centella asiatica"
101603,"Alternanthera sessilis"
101603,"Aeschynomene indica"
101603,"Nymphaea nouchali"
101603,"Trapa natans"
101603,"Arnebia benthamii"
101603,"Rheum australe"
101604,"Lindernia procumbens"
101604,"Limnophila sessiliflora"
101604,"Bonnaya antipoda"
101604,"Oenanthe javanica"
101604,"Drosera peltata"
101604,"Vandellia micrantha"
101604,"Hemisteptia lyrata"
101604,"Nymphaea pubescens"
101604,"Limnophila rugosa"
101604,"Hydrolea zeylanica"
101604,"Aeschynomene aspera"
101604,"Caesulia axillaris"
101604,"Hygrophila polysperma"
101604,"Hydrobryum griffithii"
101604,"Eclipta angustata"
101604,"Limnophila micrantha"
101604,"Bacopa monnieri"
101604,"Medicago sativa"
101604,"Pistacia khinjuk"
101604,"Podophyllum hexandrum"
101604,"Limnophila indica"
101604,"Grangea maderaspatana"
101604,"Sesbania bispinosa"
101604,"Nardostachys jatamansi"
101604,"Centella asiatica"
101604,"Alternanthera sessilis"
101604,"Aeschynomene indica"
101604,"Nymphaea nouchali"
101604,"Trapa natans"
101604,"Arnebia benthamii"
101604,"Rheum australe"
101607,"Lindernia procumbens"
101607,"Limnophila sessiliflora"
101607,"Bonnaya antipoda"
101607,"Oenanthe javanica"
101607,"Drosera peltata"
101607,"Vandellia micrantha"
101607,"Hemisteptia lyrata"
101607,"Nymphaea pubescens"
101607,"Limnophila rugosa"
101607,"Hydrolea zeylanica"
101607,"Aeschynomene aspera"
101607,"Caesulia axillaris"
101607,"Hygrophila polysperma"
101607,"Hydrobryum griffithii"
101607,"Eclipta angustata"
101607,"Limnophila micrantha"
101607,"Bacopa monnieri"
101607,"Medicago sativa"
101607,"Pistacia khinjuk"
101607,"Podophyllum hexandrum"
101607,"Limnophila indica"
101607,"Grangea maderaspatana"
101607,"Sesbania bispinosa"
101607,"Nardostachys jatamansi"
101607,"Centella asiatica"
101607,"Alternanthera sessilis"
101607,"Aeschynomene indica"
101607,"Nymphaea nouchali"
101607,"Arnebia benthamii"
101607,"Rheum australe"
101608,"Lindernia procumbens"
101608,"Limnophila sessiliflora"
101608,"Bonnaya antipoda"
101608,"Oenanthe javanica"
101608,"Drosera peltata"
101608,"Vandellia micrantha"
101608,"Hemisteptia lyrata"
101608,"Nymphaea pubescens"
101608,"Limnophila rugosa"
101608,"Hydrolea zeylanica"
101608,"Aeschynomene aspera"
101608,"Caesulia axillaris"
101608,"Hygrophila polysperma"
101608,"Hydrobryum griffithii"
101608,"Eclipta angustata"
101608,"Limnophila micrantha"
101608,"Bacopa monnieri"
101608,"Medicago sativa"
101608,"Pistacia khinjuk"
101608,"Podophyllum hexandrum"
101608,"Limnophila indica"
101608,"Grangea maderaspatana"
101608,"Sesbania bispinosa"
101608,"Nardostachys jatamansi"
101608,"Centella asiatica"
101608,"Alternanthera sessilis"
101608,"Aeschynomene indica"
101608,"Nymphaea nouchali"
101608,"Arnebia benthamii"
101608,"Rheum australe"
101609,"Lindernia procumbens"
101609,"Limnophila sessiliflora"
101609,"Bonnaya antipoda"
101609,"Oenanthe javanica"
101609,"Drosera peltata"
101609,"Vandellia micrantha"
